
Antigua			{Antigua}
Barbados		{Barbados}
Bermudes		{Isola del Tesoro}
Beliz			{Yucatan}
Cuba   			{Cuba}
Cuba1   		{Cuba}
Cuba2   		{Cuba}
Caiman 			{Cayman}
Cumana 			{Main}
Caracas 		{Main}
Curacao			{Curacao}
Cartahena 		{Main}
Dominica		{Dominica}
Guadeloupe		{Guadeloupe}
Hispaniola 		{Hispaniola}
Hispaniola1		{Hispaniola}
Hispaniola2 	{Hispaniola}
Jamaica			{Jamaica}
Maracaibo 		{Main}
Martinique		{Martinique}
SentMartin		{Saint-Martin}
Nevis			{Saint Christopher}
PuertoRico		{Puerto Rico}
PortoBello 		{Main}
Pearl 			{Pearl Beach}
Panama 			{Panama}
SantaCatalina 	{Main}
Terks			{Turks}
Tortuga			{Tortuga}
Trinidad		{Trinidad e Tobago}
Tenotchitlan 	{Lago Peten}
Mein 			{Main}
KhaelRoa 		{Khael Roa}
Ksochitam 		{Ksocheatem}
RockIsland 		{Northern Reefs}
Providence 		{Providence}
SantaQuiteria 	{Santa Quiteria}
IslaDeVieques 	{Isola di Vieques}
IslaMona 		{Isola Mona}
IslaDeCoche 	{Isola di Coche}
Tobago 			{Tobago}
MarieGalante 	{Marie Galante}

SentJons_town 	{St. John's}
Pirates_town	{Sharptown}
Bridge_town		{Bridgetown}
Beliz_town		{Belize}
Santiago_town	{Santiago}
PuertoPrincipe_town	{Puerto del Principe}
Havana_town		{Havana}
Cumana_town		{Cumana}
Caracas_town	{Caracas}
Villemstad_town	{Willemstad}
Cartahena_town	{Cartagena}
BasTer_town		{Basse-Terre}
SantoDomingo_town	{Santo Domingo}
LaVega_town		{La Vega}
PortPax_town	{Porto-au-Prince}
PortRoyal_town	{Port Royal}
Maracaibo_town	{Maracaibo}
FortFrance_town	{Saint-Pierre}
LeFransua_town	{Le Francois}
Marigo_town		{Philipsburg}
Charles_town	{Capsterville}
SanJuan_town	{San Juan}
PortoBello_town	{Portobello}
Panama_town		{Panama}
SantaCatalina_town	{Blueweld}
Tortuga_town	{Tortuga}
PortSpein_town	{San Jose}
Tenotchitlan_town	{Tayasal}
FortOrange_town	{Maroon Town}
Providence_town	{San Andres}
Estate 			{Tenuta di Oglethorpe, Inghilterra}
DesMoines 		{Monaci}
LosTeques_town 	{Miniera di Los-Teques}
ExitMine 		{Passaggio alla miniera}
Factoria 		{Fabbrica}						   

Shore1	{Capo Boon}
Shore2	{Baia di Falmouth}
Shore3	{Baia di Benures}
Shore4	{Capo Harrison}
Shore5	{Punta Ragged del Capo}
Shore6	{Capo Catoche}
Shore7	{Baia di Cozumel}
Shore8	{Baia di Chetumal}
Shore9	{Baia dell'Amatique}
Shore10	{Laguna di Caratasca}
Shore11	{Capo Camaguey}
Shore12	{Anna Maria Bay}
Shore13	{Baia di Bataban}
Shore14	{Baia della Gioventù}
Shore15	{Capo San Antonio}
Shore16	{Costa Deserta}
Shore17	{Baia Smeralda}
Shore18	{Costa Bocca di Serpente}
Shore19	{Cala Carupano}
Shore20	{Spiaggia di Los Teques}
Shore21	{Capo Aruba}
Shore22	{Costa Van Hato}
Shore23	{Capo Santa Maria}
Shore24	{Laguna Bianca}
Shore25	{Baia di Covenas}
Shore26	{Spiaggia del Castello Bruce}
Shore27	{Testa di Capo Scott}
Shore28	{Cala Morne-a-l'Eau}
Shore29	{Spiaggia di Capster}
Shore30	{Baia del Grand-Bourg}
Shore31	{Capo Inaccessibile}
Shore32	{Capo Isabella}
Shore33	{Baia di Samana}
Shore34	{Baia di Gonaives}
Shore35	{Capo Negril}
Shore36	{Baia di Portoland}
Shore37	{Baia della Guajira}
Shore38	{Baia di Lamentin}
Shore39	{Le Marin Cove}
