
Antigua			{Antigua}
Barbados		{Barbados}
Bermudes		{Isla del Tesoro}
Beliz			{Jukatan}
Cuba   			{Kuba}
Cuba1   		{Kuba}
Cuba2   		{Kuba}
Caiman 			{Kajman}
Cumana 			{Wschodni Kontynent}
Caracas 		{Kontynent}
Curacao			{Kurakao}
Cartahena 		{Kontynent}
Dominica		{Dominika}
Guadeloupe		{Gwadelupa}
Hispaniola 		{Hispaniola}
Hispaniola1		{Hispaniola}
Hispaniola2 	{Hispaniola}
Jamaica			{Jamajka}
Maracaibo 		{Kontynent}
Martinique		{Martynika}
SentMartin		{Św. Marcina}
Nevis			{Św. Krzysztofa}
PuertoRico		{Portoryko}
PortoBello 		{Kontynent}
Pearl 			{Perłowa Plaża}
Panama 			{Panama}
SantaCatalina 	{Kontynent}
Terks			{Turks}
Tortuga			{Tortuga}
Trinidad		{Trynidad}
Tenotchitlan 	{Lago Peten}
Mein 			{Zachodni Kontynent}
KhaelRoa 		{Khael Roa}
Ksochitam 		{Ksocheatem}
RockIsland 		{Północne Rafy}
Providence 		{Opatrzność}
SantaQuiteria 	{Santa Quiteria}
IslaDeVieques 	{Isla de Vieques}
IslaMona 		{Isla Mona}
IslaDeCoche 	{Isla de Coche}
Tobago 			{Tobago}

SentJons_town 	{St. John's}
Pirates_town	{Sharptown}
Bridge_town		{Bridgetown}
Beliz_town		{Belize}
Santiago_town	{Santiago}
PuertoPrincipe_town	{Puerto del Principe}
Havana_town		{Hawana}
Cumana_town		{Kumana}
Caracas_town	{Karakas}
Villemstad_town	{Willemstad}
Cartahena_town	{Kartagena}
BasTer_town		{Basse-Terre}
SantoDomingo_town	{Santo Domingo}
LaVega_town		{La Vega}
PortPax_town	{Port-au-Prince}
PortRoyal_town	{Port Royal}
Maracaibo_town	{Marakaibo}
FortFrance_town	{Saint-Pierre}
LeFransua_town	{Le Francois}
Marigo_town		{Philipsburg}
Charles_town	{Capsterville}
SanJuan_town	{San Juan}
PortoBello_town	{Portobelo}
Panama_town		{Panama}
SantaCatalina_town	{Blueweld}
Tortuga_town	{Tortuga}
PortSpein_town	{San Jose}
Tenotchitlan_town	{Tayasal}
FortOrange_town	{Maroon Town}
Providence_town	{San Andres}
Estate 			{Posiadłość Oglethorpe, Anglia}
DesMoines 		{Des Moines}
LosTeques_town 	{Kopalnia Los-Teques}
ExitMine 		{Brama do kopalni}
Factoria 		{Faktoria}						   

Shore1	{Przylądek Boon}
Shore2	{Zatoka Falmouth}
Shore3	{Zatoka Benures}
Shore4	{Przylądek Harrisona}
Shore5	{Przylądek Ragged Point}
Shore6	{Przylądek Catoche}
Shore7	{Zatoka Cozumel}
Shore8	{Zatoczka Chetumal}
Shore9	{Zatoczka Amatique}
Shore10	{Laguna Caratasca}
Shore11	{Przylądek Camaguey}
Shore12	{Zatoka Anny Marii}
Shore13	{Zatoka Batabano}
Shore14	{Zatoczka Juventud}
Shore15	{Przylądek San Antonio}
Shore16	{Pustynne Wybrzeże}
Shore17	{Zatoka Esmeraldy}
Shore18	{Wybrzeże Boca de la Serpienta}
Shore19	{Zatoczka Carupano}
Shore20	{Plaża Los Teques}
Shore21	{Przylądek Aruba}
Shore22	{Wybrzeże Van Hato}
Shore23	{Przylądek Santa Maria}
Shore24	{Laguna Blanca}
Shore25	{Zatoczka Covenas}
Shore26	{Plaża Castle Bruce}
Shore27	{Przylądek Scott's Head}
Shore28	{Zatoczka Morne-a-l'Eau}
Shore29	{Plaża Capster}
Shore30	{Zatoczka Grand-Bourg}
Shore31	{Niedostępny przylądek}
Shore32	{Przylądek Izabeli}
Shore33	{Zatoka Samany}
Shore34	{Zatoka Gonaives}
Shore35	{Przylądek Negril}
Shore36	{Zatoka Portlandzka}
Shore37	{Zatoka Guajira}
Shore38	{Zatoka Lamentin}
Shore39	{Zatoczka Le Marin}
Shore40	{Plaża Grand Case}
Shore41	{Zatoka Simpsona}
Shore42	{Zatoka Piaszczysta}
Shore43	{Zatoka Półksiężyca}
Shore44	{Zatoka Aguadilla}
Shore45	{Plaża Fajardo}
Shore46	{Laguna Chiriqui}
Shore47	{Zatoka Komarów}
Shore48	{Zatoka Darien}
Shore49	{Zatoka Papagayo}
Shore50	{Zatoka Nicoya}
Shore51	{Zatoka Coronado}
Shore52	{Zatoka Dulce}
Shore53	{Wybrzeże Komarów}
Shore54	{Przylądek Pereł}
Shore55	{Zatoka San Juan del Norte}
Shore56	{Zatoka Północna}
Shore57	{Zatoka Południowa}
Shore58	{Plaża Rybiego Oka}
Shore59	{Zatoka Scarborough}
